25apr90 18:05:33 #8 (DCSOPEN) RUNLIC 2000,,0
25apr90 18:05:34 #8 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 18:05:34 #8 (DCSOPEN) RUNLIC 200,,0
25apr90 18:05:35 #8 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 18:05:36 #8 (DCSOPEN) RUN (MAGNUM)MAGNP1
25apr90 18:05:36 #8 (DCSOPEN) RUNLIC 200,,0
25apr90 18:05:55 #8 (DCSOPEN) XCHARGE (MAGNUM)MAGNP1
25apr90 18:05:55 #8 (DCSOPEN) RUN (MAGNUM)MAGNP2
25apr90 18:05:55 #8 (DCSOPEN) RUNLIC 200,,0
25apr90 18:06:00 #8 (DCSOPEN) XCHARGE (MAGNUM)MAGNP2
25apr90 18:06:00 #8 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 18:06:00 #8 (DCSOPEN) RUNLIC 200,,0
25apr90 18:06:10 #8 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 18:06:11 #8 (DCSOPEN) RUN (SYS)EDITOR
25apr90 18:16:37 #8 (DCSOPEN) RUN (SYS)RPG
25apr90 18:16:37 #8 (DCSOPEN) RUNLIC 2000,,0
25apr90 18:16:37 #8 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 18:16:37 #8 (DCSOPEN) RUNLIC 200,,0
25apr90 18:16:38 #8 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 18:16:39 #8 (DCSOPEN) RUN (SYS)LOGOUT
25apr90 18:16:39 #8 (DCSOPEN) RUNLIC 547000,,0
25apr90 18:16:39 #8 (DCSOPEN) LOGOUT TRUs = 1287.0
25apr90 20:06:37 #14 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:06:38 #14 (DCSOPEN) PJC PJC=DCS, VFY=0
25apr90 20:06:38 #14 (DCSOPEN) NEXIT (SYS)LOGINN
25apr90 20:06:38 #14 (DCSOPEN) RUN (SYS)RPG
25apr90 20:06:38 #14 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:06:39 #14 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:06:39 #14 (DCSOPEN) RUNLIC 12,,0
25apr90 20:06:39 #14 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:06:47 #14 (DCSOPEN) RUN (UPL)COM
25apr90 20:06:52 #14 (DCSOPEN) NEXIT (UPL)COM
25apr90 20:06:53 #14 (DCSOPEN) RUN (SYS)SUBMIT
25apr90 20:06:53 #14 (DCSOPEN) RUNLIC 2100,,0
25apr90 20:06:56 #14 (DCSOPEN) NEXIT (SYS)SUBMIT
25apr90 20:06:56 #14 (DCSOPEN) RUN (SYS)RPG
25apr90 20:06:56 #14 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:06:56 #14 (DCSOPEN) RUN (SYS)EDITOR
25apr90 20:07:03 #14 (DCSOPEN) NEXIT (SYS)EDITOR
25apr90 20:07:06 #14 (DCSOPEN) RUN (SYS)RPG
25apr90 20:07:06 #14 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:07:06 #14 (DCSOPEN) RUN (SYS)DIRIT
25apr90 20:07:08 #14 (DCSOPEN) NEXIT (SYS)DIRIT
25apr90 20:07:18 #14 (DCSOPEN) RUN (SYS)PCOM
25apr90 20:07:18 #14 (DCSOPEN) RUNLIC 777717,,0
25apr90 20:07:20 #19 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:07:20 #19 (DCSOPEN) RUN (SYS)PCOM
25apr90 20:07:20 #19 (DCSOPEN) RUNLIC 777717,,0
25apr90 20:07:21 #21 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:07:22 #14 (DCSOPEN) NEXIT (SYS)PCOM
25apr90 20:07:22 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:07:22 #21 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:07:22 #14 (DCSOPEN) RUN (SYS)LOGOUT
25apr90 20:07:22 #14 (DCSOPEN) RUNLIC 547000,,0
25apr90 20:07:22 #14 (DCSOPEN) LOGOUT TRUs = 22.3
25apr90 20:07:23 #21 (DCSOPEN) RUN (SYS)PIP
25apr90 20:07:23 #21 (DCSOPEN) NEXIT (SYS)PIP
25apr90 20:07:24 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:07:24 #21 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:07:24 #21 (DCSOPEN) RUN (SYS)PIP
25apr90 20:07:25 #21 (DCSOPEN) NEXIT (SYS)PIP
25apr90 20:07:26 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:07:26 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:07:26 #21 (DCSOPEN) RUNLIC 200,,0
25apr90 20:07:30 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:07:30 #21 (DCSOPEN) RUN (MAGNUM)MAGNRN
25apr90 20:07:30 #21 (DCSOPEN) RUNLIC 200,,0
25apr90 20:07:35 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNRN
25apr90 20:07:35 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:07:35 #21 (DCSOPEN) RUNLIC 200,,0
25apr90 20:07:36 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:07:37 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:07:37 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:07:37 #21 (DCSOPEN) RUNLIC 2000,,0
25apr90 20:07:37 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:07:37 #21 (DCSOPEN) RUNLIC 12,,0
25apr90 20:07:37 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:07:38 #21 (DCSOPEN) RUN (SYS)PCOM
25apr90 20:07:38 #21 (DCSOPEN) RUNLIC 777717,,0
25apr90 20:07:38 #14 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:07:39 #14 (DCSOPEN) RUN (SYS)PCOM
25apr90 20:07:39 #14 (DCSOPEN) RUNLIC 777717,,0
25apr90 20:07:40 #24 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:07:40 #21 (DCSOPEN) NEXIT (SYS)PCOM
25apr90 20:07:41 #24 (DCSOPEN) RUN (DCSOPEN)OD114
25apr90 20:07:41 #24 (DCSOPEN) RUNLIC 2400,,0
25apr90 20:07:42 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=173
25apr90 20:07:54 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=165
25apr90 20:08:16 #21 (DCSOPEN) RUN (UPL)COM
25apr90 20:08:17 #21 (DCSOPEN) NEXIT (UPL)COM
25apr90 20:08:17 #21 (DCSOPEN) RUN (SYS)OPER
25apr90 20:08:17 #21 (DCSOPEN) RUNLIC 775717,,0
25apr90 20:08:17 #21 (DCSOPEN) SETLIC (SYS)OPER LIC=775717,,40012
25apr90 20:08:17 #21 (DCSOPEN) TATTLE OPER RUSSELL 40012 okay
25apr90 20:08:17 #21 (DCSOPEN) NEXIT (SYS)OPER
25apr90 20:08:17 #21 (DCSOPEN) RUN (SYS)SYSTAT
25apr90 20:08:17 #21 (DCSOPEN) RUNLIC 442012,,40012
25apr90 20:08:21 #21 (DCSOPEN) NEXIT (SYS)SYSTAT
25apr90 20:08:58 #21 (DCSOPEN) RUN (SYS)SYSTAT
25apr90 20:08:58 #21 (DCSOPEN) RUNLIC 442012,,40012
25apr90 20:09:00 #21 (DCSOPEN) NEXIT (SYS)SYSTAT
25apr90 20:09:00 #21 (DCSOPEN) RUN (SYS)SYSTAT
25apr90 20:09:00 #21 (DCSOPEN) RUNLIC 442012,,40012
25apr90 20:09:03 #21 (DCSOPEN) NEXIT (SYS)SYSTAT
25apr90 20:09:03 #21 (DCSOPEN) RUN (SYS)SYSTAT
25apr90 20:09:03 #21 (DCSOPEN) RUNLIC 442012,,40012
25apr90 20:09:07 #21 (DCSOPEN) NEXIT (SYS)SYSTAT
25apr90 20:09:07 #21 (DCSOPEN) RUN (SYS)SYSTAT
25apr90 20:09:07 #21 (DCSOPEN) RUNLIC 442012,,40012
25apr90 20:09:09 #21 (DCSOPEN) NEXIT (SYS)SYSTAT
25apr90 20:09:10 #21 (DCSOPEN) RUN (SYS)SYSTAT
25apr90 20:09:10 #21 (DCSOPEN) RUNLIC 442012,,40012
25apr90 20:09:12 #21 (DCSOPEN) NEXIT (SYS)SYSTAT
25apr90 20:09:13 #21 (DCSOPEN) RUN (SYS)GFD
25apr90 20:09:13 #21 (DCSOPEN) RUNLIC 45012,,40012
25apr90 20:09:13 #21 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:09:13 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:09:13 #21 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:09:14 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:09:14 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:09:15 #25 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 20:09:15 #25 (DCSOPEN) PJC PJC=DCS, VFY=0
25apr90 20:09:15 #25 (DCSOPEN) NEXIT (SYS)LOGINN
25apr90 20:09:16 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:09:16 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:09:16 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:09:17 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:09:17 #21 (DCSOPEN) RUNLIC 40212,,40012
25apr90 20:09:19 #25 (DCSOPEN) RUN (SYS)GFD
25apr90 20:09:19 #25 (DCSOPEN) RUNLIC 5010,,0
25apr90 20:09:20 #25 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:09:20 #25 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:09:21 #25 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:09:21 #25 (DCSOPEN) RUNLIC 200,,0
25apr90 20:09:29 #25 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:09:30 #25 (DCSOPEN) RUN (SYS)EDITOR
25apr90 20:09:39 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:09:40 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:09:40 #21 (DCSOPEN) RUN (SYS)GFD
25apr90 20:09:40 #21 (DCSOPEN) RUNLIC 45012,,40012
25apr90 20:09:41 #21 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:09:41 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:09:41 #21 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:09:41 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:09:41 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:09:43 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:09:43 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:09:43 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:09:43 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:09:43 #21 (DCSOPEN) RUNLIC 40212,,40012
25apr90 20:09:58 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:09:58 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:09:59 #21 (DCSOPEN) RUN (SYS)GFD
25apr90 20:09:59 #21 (DCSOPEN) RUNLIC 45012,,40012
25apr90 20:10:00 #21 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:10:00 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:10:00 #21 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:10:00 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:10:00 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:10:01 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:10:02 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:10:02 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:10:02 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:10:02 #21 (DCSOPEN) RUNLIC 40212,,40012
25apr90 20:10:10 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=173
25apr90 20:10:16 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:10:17 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:10:17 #21 (DCSOPEN) RUN (SYS)GFD
25apr90 20:10:17 #21 (DCSOPEN) RUNLIC 45012,,40012
25apr90 20:10:18 #21 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:10:18 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:10:18 #21 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:10:18 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:10:18 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:10:20 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:10:20 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:10:20 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:10:21 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:10:21 #21 (DCSOPEN) RUNLIC 40212,,40012
25apr90 20:10:38 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:10:38 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:10:39 #21 (DCSOPEN) RUN (SYS)GFD
25apr90 20:10:39 #21 (DCSOPEN) RUNLIC 45012,,40012
25apr90 20:10:40 #21 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:10:40 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:10:40 #21 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:10:40 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:10:40 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:10:41 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:10:42 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:10:42 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:10:42 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:10:42 #21 (DCSOPEN) RUNLIC 40212,,40012
25apr90 20:10:51 #24 (DCSOPEN) CREAUX RAILDIAL:114 port=165
25apr90 20:10:58 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:10:59 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
25apr90 20:10:59 #21 (DCSOPEN) RUN (SYS)GFD
25apr90 20:10:59 #21 (DCSOPEN) RUNLIC 45012,,40012
25apr90 20:11:00 #21 (DCSOPEN) NEXIT (SYS)GFD
25apr90 20:11:00 #21 (DCSOPEN) RUN (SYS)RPG
25apr90 20:11:00 #21 (DCSOPEN) RUNLIC 42012,,40012
25apr90 20:11:01 #21 (DCSOPEN) RUN (SYS)LISTER
25apr90 20:11:01 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:11:02 #21 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 20:11:02 #21 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 20:11:02 #21 (DCSOPEN) RUNLIC 40012,,40012
25apr90 20:11:03 #21 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 20:11:03 #21 (DCSOPEN) RUNLIC 40212,,40012
25apr90 20:11:19 #21 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 20:11:19 #21 (DCSOPEN) EXIT (MAGNUM)MAGNUM
