0206407081609YANKEE       35525  4271 12SPOOL       111  1614 10     0      0820709
0206307081533YANKEE       35525  4271 12SPOOL       11001   0  1522650      2820709
0206307081533YANKEE       35525  4271 12SPOOL       111   766 10     0      0820709
0205507071312DIST12A      11553165215 12            01001   0    86820      1820709
0205507071312DIST12A      11553165215 12            011    70 10     0      0820709
0208607141246SCAMP1       24326222306 112H006A/GDR.D11001   0  1340170      1820715
0208607141246SCAMP1       24326222306 112H006A/GDR.D111   328 10     0      0820715
0204107050839LMARTOK      33231326454182MONTHLYPRT  110         541615      1820715
0204107050839LMARTOK      33231326454182MONTHLYPRT  111   125 10             820715
0211807210006YANKEE       35525  4271 12SPOOL       11001   0  1200290      1820721
0211807210006YANKEE       35525  4271 12SPOOL       111   144 10     0      0820721
0211707202359YANKEE       35525  4271 12SPOOL       11001   0  1833270      2820721
0211707202359YANKEE       35525  4271 12SPOOL       111  1026 10     0      0820721
0217207291119FNCA         21112171360 71RESTAURANT  11001   0    11915      1820730
0217207291119FNCA         21112171360 71RESTAURANT  111    17 10     0      0820730
0223908061415YANKEE       35525  4271 12PRINTING    11001   0   704128      1820806
0223908061415YANKEE       35525  4271 12PRINTING    111  1183 10     0      0820806
0224108061549YANKEE       35525  4271 12SPOOL       11001   0  1331230      1820807
0224108061549YANKEE       35525  4271 12SPOOL       111   160 10     0      0820807
0224808091246SFPRINT      11553166742 12            01001   0  1039640      1820809
0224808091246SFPRINT      11553166742 12            011   309 10     0      0820809
0218808021103LMARTOK      33231326454182MONTHLYPRT  110         565370      1820813
0218808021103LMARTOK      33231326454182MONTHLYPRT  111   130 10             820813
0229908200026YANKEE       35525  4271 12SPOOL       11001   0  2008395      2820820
0229908200026YANKEE       35525  4271 12SPOOL       111  1095 10     0      0820820
0236609062305YANKEE       35525  4271 12SPOOL       11001   0   142430      1820907
0236609062305YANKEE       35525  4271 12SPOOL       111   144 10     0      0820907
0236709070052YANKEE       35525  4271 12INVOICE     11001   0  1529970      1820907
0236709070052YANKEE       35525  4271 12INVOICE     111   686 10     0      0820907
0237009071329YANKEE       35525  4271 12SPOOL       11001   0  1470150      1820907
0237009071329YANKEE       35525  4271 12SPOOL       111   176 10     0      0820907
0238009081237YANKEE       35525  4271 12SPOOL       11001   0   764985      1820908
0238009081237YANKEE       35525  4271 12SPOOL       111   343 10     0      0820908
0237909081232YANKEE       35525  4271 12SPOOL       11001   0   722338      1820909
0237909081232YANKEE       35525  4271 12SPOOL       111   867 10     0      0820909
0239009091011YANKEE       35525  4271 12SPOOL       11001   0   122220      1820909
