0242901031451DCSMINN      16316365203249ANNUALPRG   0000000000000000000000000000000
0243501070609DCSMINN      16316365203249PURGE3      0000000000000000000000000000000
0243601090737ALICIABX     16316453375249ALICIABX    0000000000000000000000000000000
0243701090756JMILLER          1277731  0SLI ACCOUNT 0000000000000000000000000000000
0243801091130DCSFRS       16316177547249LJB         0000000000000000000000000000000
0243901091257DCSFRS       16316177547249LJB         0000000000000000000000000000000
0244001100741ALICIABX     16316453375249LOAD ALICIAB0000000000000000000000000000000
0244101100746ALICIABX     16316453375249LOAD ALICIAB0000000000000000000000000000000
0244201100746ALICIABX     16316453375249LOAD ALICIAB0000000000000000000000000000000
0244301101402DCSFRS       16316177547249LJB         0000000000000000000000000000000
0144401121137ALICIABX     16316453375249DCSTEST     0000000000000000000000000000000
0144501121139ALICIABX     16316453375249CANCEL REQ. 0000000000000000000000000000000
0244601121141DCSTEST      10525 26014249CONOCO TRIP 0000000000000000000000000000000
0244701121143DCSTEST      10525 26014249CONOCO 1991 0000000000000000000000000000000
0245001131129DCSTEST      10525 26014249CONOCO TRIP 0000000000000000000000000000000
0245101131238DCSFRS       16316177547249LJB         0000000000000000000000000000000
0245501140153DCSMINN      16316365203249PURGE4      0000000000000000000000000000000
0245601151345DCSFRS       16316177547249LJB         0000000000000000000000000000000
0245701161050DCSFRS       16316177547249LJB         0000000000000000000000000000000
0245801161412ALICIABX     16316453375249ALICIABX    0000000000000000000000000000000
0245901161528ALICIABX     16316453375249LOAD ALICIAB0000000000000000000000000000000
0246001161528ALICIABX     16316453375249LOAD ALICIAB0000000000000000000000000000000
0246301200144DCSMINN      16316365203249PURGE1      0000000000000000000000000000000
0246401210800DANIELSR         1142734  0FILE SAVE   0000000000000000000000000000000
0246501221328DCSFRS       16316177547249LJB         0000000000000000000000000000000
0246601221338DCSFRS       16316177547249LJB         0000000000000000000000000000000
0247101280116DCSMINN      16316365203249PURGE2      0000000000000000000000000000000
0218301020911BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0218501021503BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0218601030854BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0218701030856BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0219201031829BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0219301032131BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0219401032332BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0219501041410BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0219601051134FRANK            4111413  2MAGCON      0000000000000000000000000000000
0220001052218BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0220301060735DCSFRS       16316177547249LJB         0000000000000000000000000000000
0220401060933DCSFRS       16316177547249LJB         0000000000000000000000000000000
0220501061254BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0220901070218DCSMINN      16316365203249PURGE2      0000000000000000000000000000000
0121001070725NETSTAT      21477205635201            0000000000000000000000000000000
0221101071105FRANK            4111413  2MAGCON      0000000000000000000000000000000
0221201071617BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0221401071927PNZOTMP      44425217245249Y           1000000000000000000000000000000
0221501071931CONXTMP      42460317534249Y           1000000000000000000000000000000
0221601071939KLPGTMP      42460313476249Y           1000000000000000000000000000000
0221701081050FRANK            4111413  2MAGCON      0000000000000000000000000000000
0221901081956PNZOTMP      44425217245249Y           1000000000000000000000000000000
0222001082017PNZOTMP      44425217245249Y           1000000000000000000000000000000
0222101082019PNZOTMP      44425217245249Y           1000000000000000000000000000000
0222201082019PNZOTMP      44425217245249Y           1000000000000000000000000000000
0222301082235BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0222401092212BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0222901101951BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0223001102048BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0223101111439BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0223201111442BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0223501112309BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0223601112310BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0223701120959BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0124001122248CONXTMP      42460317534249Y           1000000000000000000000000000000
0124101122248CONXTMP      42460317534249Y           1000000000000000000000000000000
0224201131442FRANK            4111413  2MAGCON      0000000000000000000000000000000
0224301132055CONXTMP      42460317534249Y           1000000000000000000000000000000
0224401132056CONXTMP      42460317534249Y           1000000000000000000000000000000
0224501132057CONXTMP      42460317534249Y           1000000000000000000000000000000
0224601131902BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0224701141503FRANK            4111413  2MAGCON      0000000000000000000000000000000
0225001150909BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0225201151953KLPGTMP      42460313476249Y           1000000000000000000000000000000
0225301152029BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0225401161555KLPGTMP      42460313476249LOAD KLPGTMP1000000000000000000000000000000
0225501161556KLPGTMP      42460313476249LOAD KLPGTMP1000000000000000000000000000000
0225601161403BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0225701162302BILLING10        1 44355  0MAGCON      0000000000000000000000000000000
0226001171325CONXTMP      42460317534249Y           1000000000000000000000000000000
0126301171755CONXTMP      42460317534249Y           1000000000000000000000000000000
0226501180005BILLING10        1 44355  0ACTG        0000000000000000000000000000000
0226601180900FRANK            4111413  2MAGCON      0000000000000000000000000000000
0226801181514NETSTAT      21477205635201FILE RECOVER0000000000000000000000000000000
0227101182032BILLING10        1 44355  0ACTG        0000000000000000000000000000000
